GEO_ID,NAME,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS
1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",53925,9890
1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",26167,13123
1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",24815,8428
1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",24671,7058
1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",12408,1562
1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",23116,4620
1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",24896,9898
1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",23178,6138
1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",32833,4536
1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",34776,4889
1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",38692,3570
1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",29665,3040
1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",55455,30197
1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",22987,4446
1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",31101,8855
1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",43712,9616
1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",30430,5719
1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",50206,1929
1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",30764,6954
1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",20575,5564
1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",26276,3129
1400000US22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",27802,8483
1400000US22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",22292,17745
1400000US22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",16724,5092
1400000US22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",21786,8880
1400000US22071001100,"Census Tract 11, Orleans Parish, Louisiana",30053,4459
1400000US22071001200,"Census Tract 12, Orleans Parish, Louisiana",41838,8624
1400000US22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",27342,5048
1400000US22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",28454,7353
1400000US22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",22198,4505
1400000US22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",23418,2299
1400000US22071001500,"Census Tract 15, Orleans Parish, Louisiana",26818,3300
1400000US22071001600,"Census Tract 16, Orleans Parish, Louisiana",-,**
1400000US22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",25943,6033
1400000US22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",16522,4551
1400000US22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",22993,3564
1400000US22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",21633,2335
1400000US22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",29043,2097
1400000US22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",30752,7231
1400000US22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",27058,3824
1400000US22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",28295,8174
1400000US22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",44514,6804
1400000US22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",24040,2105
1400000US22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",21610,2987
1400000US22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",21230,1770
1400000US22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",27679,4294
