obs,id,census_tract,occupied_housing_units,1_person_household,2_person_household,3_person_household,4_or_more_person_household
1,1400000US22071000100,1,1238,552,419,142,125
2,1400000US22071000200,2,548,280,179,47,42
3,1400000US22071000300,3,487,239,101,69,78
4,1400000US22071000400,4,807,384,296,40,87
5,1400000US22071000601,6.01,401,226,75,49,51
6,1400000US22071000602,6.02,946,516,245,80,105
7,1400000US22071000603,6.03,399,149,144,78,28
8,1400000US22071000604,6.04,1504,691,434,230,149
9,1400000US22071000605,6.05,751,294,227,93,137
10,1400000US22071000606,6.06,1612,634,442,272,264
11,1400000US22071000607,6.07,1462,394,483,226,359
12,1400000US22071000611,6.11,1547,651,443,187,266
13,1400000US22071000612,6.12,568,58,237,130,143
14,1400000US22071000613,6.13,2102,1092,504,218,288
15,1400000US22071000615,6.15,2010,1025,615,208,162
16,1400000US22071000616,6.16,1568,710,347,257,254
17,1400000US22071000617,6.17,2111,923,641,367,180
18,1400000US22071000618,6.18,1471,323,555,247,346
19,1400000US22071000701,7.01,326,177,85,29,35
20,1400000US22071000702,7.02,638,280,157,110,91
21,1400000US22071000800,8,686,331,238,84,33
22,1400000US22071000901,9.01,380,206,52,84,38
23,1400000US22071000902,9.02,159,70,41,18,30
24,1400000US22071000903,9.03,296,133,79,66,18
25,1400000US22071000904,9.04,443,243,119,50,31
26,1400000US22071001100,11,889,507,212,125,45
27,1400000US22071001200,12,940,487,382,55,16
28,1400000US22071001301,13.01,853,510,175,113,55
29,1400000US22071001302,13.02,510,284,163,36,27
30,1400000US22071001401,14.01,675,404,145,54,72
31,1400000US22071001402,14.02,831,396,242,113,80
32,1400000US22071001500,15,479,323,86,53,17
33,1400000US22071001600,16,0,0,0,0,0
34,1400000US22071001701,17.01,659,289,133,118,119
35,1400000US22071001702,17.02,1123,550,269,125,179
36,1400000US22071001720,17.2,1447,775,378,71,223
37,1400000US22071001722,17.22,1785,951,417,159,258
38,1400000US22071001723,17.23,1813,819,374,353,267
39,1400000US22071001724,17.24,1860,749,474,374,263
40,1400000US22071001725,17.25,2560,1231,706,325,298
41,1400000US22071001730,17.3,356,108,117,56,75
42,1400000US22071001734,17.34,407,183,136,41,47
43,1400000US22071001735,17.35,1035,472,262,127,174
44,1400000US22071001736,17.36,953,597,202,68,86
45,1400000US22071001737,17.37,1417,748,354,178,137
46,1400000US22071001739,17.39,669,190,272,96,111
47,1400000US22071001740,17.4,2014,827,721,179,287
48,1400000US22071001741,17.41,435,133,107,49,146
49,1400000US22071001743,17.43,988,456,271,103,158
50,1400000US22071001744,17.44,1796,718,507,222,349
51,1400000US22071001745,17.45,1378,557,328,335,158
52,1400000US22071001746,17.46,1546,792,429,158,167
53,1400000US22071001747,17.47,1451,451,385,261,354
54,1400000US22071001748,17.48,1586,599,442,277,268
55,1400000US22071001749,17.49,774,191,167,120,296
