obs,id,census_tract,percent_below_poverty
1,1400000US22071010100,101,0
,,,
2,1400000US22071001800,18,0
,,,
3,1400000US22071003800,38,0
,,,
4,1400000US22071000612,6.12,0
,,,
5,1400000US22071009000,90,0
,,,
6,1400000US22071009700,97,0
,,,
7,1400000US22071011900,119,0.8
,,,
8,1400000US22071013301,133.01,0.8
,,,
9,1400000US22071007604,76.04,0.8
,,,
10,1400000US22071005603,56.03,1.3
,,,
11,1400000US22071005604,56.04,1.5
,,,
12,1400000US22071010700,107,1.6
,,,
13,1400000US22071004600,46,1.6
,,,
14,1400000US22071005400,54,1.6
,,,
15,1400000US22071010600,106,1.7
,,,
16,1400000US22071012101,121.01,1.8
,,,
17,1400000US22071011700,117,1.9
,,,
18,1400000US22071007700,77,2
,,,
19,1400000US22071012000,120,2.2
,,,
20,1400000US22071014200,142,2.2
,,,
21,1400000US22071005601,56.01,2.3
,,,
22,1400000US22071009900,99,2.7
,,,
23,1400000US22071000100,1,2.8
,,,
24,1400000US22071001200,12,3
,,,
25,1400000US22071005602,56.02,3.4
,,,
26,1400000US22071011200,112,3.6
,,,
27,1400000US22071001747,17.47,3.6
,,,
28,1400000US22071012600,126,3.7
,,,
29,1400000US22071005500,55,3.8
,,,
30,1400000US22071012200,122,3.9
,,,
31,1400000US22071006400,64,3.9
,,,
32,1400000US22071010800,108,4.1
,,,
33,1400000US22071011500,115,4.1
,,,
34,1400000US22071009600,96,4.1
,,,
35,1400000US22071000606,6.06,4.2
,,,
36,1400000US22071010900,109,4.6
,,,
37,1400000US22071013400,134,4.6
,,,
38,1400000US22071011400,114,4.8
,,,
39,1400000US22071004100,41,4.8
,,,
40,1400000US22071013302,133.02,5.2
,,,
41,1400000US22071012102,121.02,5.3
,,,
42,1400000US22071003301,33.01,5.3
,,,
43,1400000US22071008400,84,5.3
,,,
44,1400000US22071007606,76.06,6
,,,
45,1400000US22071000607,6.07,6.1
,,,
46,1400000US22071008300,83,6.1
,,,
47,1400000US22071003701,37.01,6.2
,,,
48,1400000US22071012300,123,6.4
,,,
49,1400000US22071003900,39,6.6
,,,
50,1400000US22071012800,128,6.7
,,,
51,1400000US22071011600,116,6.9
,,,
52,1400000US22071008800,88,6.9
,,,
53,1400000US22071012500,125,7.5
,,,
54,1400000US22071000618,6.18,7.7
,,,
55,1400000US22071002503,25.03,8.2
,,,
56,1400000US22071003702,37.02,8.2
,,,
57,1400000US22071001702,17.02,8.6
,,,
58,1400000US22071002502,25.02,8.8
,,,
59,1400000US22071002504,25.04,8.9
,,,
60,1400000US22071001741,17.41,9.2
,,,
61,1400000US22071002600,26,9.6
,,,
62,1400000US22071009100,91,9.7
,,,
63,1400000US22071001734,17.34,10.1
,,,
64,1400000US22071000400,4,10.1
,,,
65,1400000US22071012700,127,10.3
,,,
66,1400000US22071000200,2,10.5
,,,
67,1400000US22071000901,9.01,10.9
,,,
68,1400000US22071003302,33.02,11.3
,,,
69,1400000US22071003307,33.07,11.4
,,,
70,1400000US22071010300,103,11.5
,,,
71,1400000US22071001730,17.3,11.5
,,,
72,1400000US22071001100,11,11.8
,,,
73,1400000US22071007000,70,12.2
,,,
74,1400000US22071000800,8,12.5
,,,
75,1400000US22071002501,25.01,12.9
,,,
76,1400000US22071013000,130,13.1
,,,
77,1400000US22071013600,136,13.1
,,,
78,1400000US22071012400,124,13.2
,,,
79,1400000US22071002401,24.01,13.2
,,,
80,1400000US22071013500,135,13.6
,,,
81,1400000US22071012900,129,13.7
,,,
82,1400000US22071014400,144,13.7
,,,
83,1400000US22071001748,17.48,13.7
,,,
84,1400000US22071001301,13.01,15.1
,,,
85,1400000US22071000611,6.11,15.3
,,,
86,1400000US22071007800,78,15.4
,,,
87,1400000US22071008200,82,15.5
,,,
88,1400000US22071008500,85,15.9
,,,
89,1400000US22071001723,17.23,16
,,,
90,1400000US22071006300,63,16.3
,,,
91,1400000US22071007101,71.01,16.5
,,,
92,1400000US22071001900,19,17.1
,,,
93,1400000US22071000602,6.02,17.1
,,,
94,1400000US22071000616,6.16,17.5
,,,
95,1400000US22071011100,111,17.8
,,,
96,1400000US22071004401,44.01,17.9
,,,
97,1400000US22071010200,102,18
,,,
98,1400000US22071001302,13.02,18.6
,,,
99,1400000US22071001701,17.01,19.2
,,,
100,1400000US22071001401,14.01,19.5
,,,
101,1400000US22071003304,33.04,19.5
,,,
102,1400000US22071010000,100,20.2
,,,
103,1400000US22071000617,6.17,20.4
,,,
104,1400000US22071001740,17.4,20.5
,,,
105,1400000US22071001746,17.46,20.7
,,,
106,1400000US22071001724,17.24,21.4
,,,
107,1400000US22071004000,40,21.4
,,,
108,1400000US22071001402,14.02,21.5
,,,
109,1400000US22071013200,132,21.6
,,,
110,1400000US22071003000,30,22.1
,,,
111,1400000US22071005000,50,22.1
,,,
112,1400000US22071006500,65,22.5
,,,
113,1400000US22071000701,7.01,22.8
,,,
114,1400000US22071001725,17.25,22.9
,,,
115,1400000US22071000605,6.05,23
,,,
116,1400000US22071001749,17.49,23.2
,,,
117,1400000US22071007501,75.01,23.3
,,,
118,1400000US22071007605,76.05,23.5
,,,
119,1400000US22071003303,33.03,23.7
,,,
120,1400000US22071004500,45,23.7
,,,
121,1400000US22071001720,17.2,23.8
,,,
122,1400000US22071002402,24.02,24.1
,,,
123,1400000US22071000604,6.04,24.5
,,,
124,1400000US22071000615,6.15,24.7
,,,
125,1400000US22071002900,29,24.9
,,,
126,1400000US22071013100,131,25
,,,
127,1400000US22071001735,17.35,25.2
,,,
128,1400000US22071001745,17.45,26.4
,,,
129,1400000US22071007200,72,26.8
,,,
130,1400000US22071003308,33.08,26.9
,,,
131,1400000US22071000300,3,27.6
,,,
132,1400000US22071009200,92,27.7
,,,
133,1400000US22071004900,49,27.9
,,,
134,1400000US22071001739,17.39,28.2
,,,
135,1400000US22071013900,139,28.4
,,,
136,1400000US22071001500,15,28.6
,,,
137,1400000US22071003400,34,28.9
,,,
138,1400000US22071002100,21,29.4
,,,
139,1400000US22071002700,27,30.3
,,,
140,1400000US22071002000,20,30.6
,,,
141,1400000US22071001737,17.37,31.9
,,,
142,1400000US22071001736,17.36,32.1
,,,
143,1400000US22071000613,6.13,32.6
,,,
144,1400000US22071000702,7.02,32.9
,,,
145,1400000US22071002300,23,34.1
,,,
146,1400000US22071001743,17.43,34.3
,,,
147,1400000US22071013800,138,34.9
,,,
148,1400000US22071001722,17.22,35.3
,,,
149,1400000US22071009400,94,35.5
,,,
150,1400000US22071003500,35,35.6
,,,
151,1400000US22071000904,9.04,35.6
,,,
152,1400000US22071014100,141,36.3
,,,
153,1400000US22071003600,36,36.6
,,,
154,1400000US22071003100,31,37.6
,,,
155,1400000US22071001744,17.44,39.1
,,,
156,1400000US22071001750,17.5,39.1
,,,
157,1400000US22071006900,69,39.6
,,,
158,1400000US22071006000,60,39.7
,,,
159,1400000US22071000903,9.03,41.7
,,,
160,1400000US22071007502,75.02,43.3
,,,
161,1400000US22071000603,6.03,43.8
,,,
162,1400000US22071014000,140,43.9
,,,
163,1400000US22071000902,9.02,45.8
,,,
164,1400000US22071002200,22,46.8
,,,
165,1400000US22071014300,143,48.7
,,,
166,1400000US22071008600,86,50.5
,,,
167,1400000US22071002800,28,52.5
,,,
168,1400000US22071013700,137,54.6
,,,
169,1400000US22071004402,44.02,55.1
,,,
170,1400000US22071004800,48,61.9
,,,
171,1400000US22071000601,6.01,62.7
,,,
172,1400000US22071001751,17.51,71.4
