id,PERCENT_BELOW_POVERTY
1400000US22071000100,7.6
1400000US22071000200,15.1
1400000US22071000300,31.9
1400000US22071000400,15.3
1400000US22071000601,58.3
1400000US22071000602,22.7
1400000US22071000603,43.7
1400000US22071000604,30.1
1400000US22071000605,29.4
1400000US22071000606,8.2
1400000US22071000607,13.3
1400000US22071000611,20.9
1400000US22071000612,1.8
1400000US22071000613,37.7
1400000US22071000615,24
1400000US22071000616,20.7
1400000US22071000617,31.7
1400000US22071000618,10.4
1400000US22071000701,33.8
1400000US22071000702,48.8
1400000US22071000800,15
1400000US22071000901,16.8
1400000US22071000902,43.8
1400000US22071000903,41.6
1400000US22071000904,42.7
1400000US22071001100,23.3
1400000US22071001200,14.7
1400000US22071001301,31.5
1400000US22071001302,38.5
1400000US22071001401,28.3
1400000US22071001402,31.2
1400000US22071001500,37.8
1400000US22071001701,24.6
1400000US22071001702,16.1
1400000US22071001720,34.5
1400000US22071001722,38.7
1400000US22071001723,21.2
1400000US22071001724,24.9
1400000US22071001725,26.6
1400000US22071001730,18
1400000US22071001734,16.4
1400000US22071001735,32.3
1400000US22071001736,40.7
1400000US22071001737,34.4
1400000US22071001739,26.5
1400000US22071001740,24.5
1400000US22071001741,8.7
1400000US22071001743,37.1
1400000US22071001744,45.4
1400000US22071001745,32.2
1400000US22071001746,29
1400000US22071001747,6.6
1400000US22071001748,17.6
1400000US22071001749,20.8
1400000US22071001750,33
1400000US22071001751,72.8
1400000US22071001800,12.7
1400000US22071001900,28
1400000US22071002000,32.1
1400000US22071002100,36.3
1400000US22071002200,50.1
1400000US22071002300,34.7
1400000US22071002401,19.1
1400000US22071002402,23.1
1400000US22071002501,16.2
1400000US22071002502,13.7
1400000US22071002503,10.6
1400000US22071002504,16.4
1400000US22071002600,15.5
1400000US22071002700,37.9
1400000US22071002800,53.7
1400000US22071002900,25.9
1400000US22071003000,38
1400000US22071003100,35.6
1400000US22071003301,8.9
1400000US22071003302,15.3
1400000US22071003303,30.6
1400000US22071003304,23.4
1400000US22071003307,21.8
1400000US22071003308,35.8
1400000US22071003400,26.3
1400000US22071003500,51.7
1400000US22071003600,40.5
1400000US22071003701,12.5
1400000US22071003702,16.9
1400000US22071003800,6.9
1400000US22071003900,29.3
1400000US22071004000,27.9
1400000US22071004100,8
1400000US22071004401,29.9
1400000US22071004402,75.4
1400000US22071004500,19.9
1400000US22071004600,6.9
1400000US22071004800,65.8
1400000US22071004900,42.8
1400000US22071005000,28.8
1400000US22071005400,9.9
1400000US22071005500,7.8
1400000US22071005601,4.3
1400000US22071005602,4.9
1400000US22071005603,3.3
1400000US22071005604,4.6
1400000US22071006000,36
1400000US22071006300,27.5
1400000US22071006400,8.3
1400000US22071006500,23.2
1400000US22071006900,46.6
1400000US22071007000,34.9
1400000US22071007101,29.8
1400000US22071007200,34.7
1400000US22071007501,28.7
1400000US22071007502,44.1
1400000US22071007604,1
1400000US22071007605,34.9
1400000US22071007606,12.6
1400000US22071007700,17.5
1400000US22071007800,19.5
1400000US22071008200,11.6
1400000US22071008300,8.6
1400000US22071008400,14.2
1400000US22071008500,43
1400000US22071008600,51.8
1400000US22071008800,13
1400000US22071009000,6.2
1400000US22071009100,14.3
1400000US22071009200,46.6
1400000US22071009400,40.5
1400000US22071009600,7
1400000US22071009700,7.6
1400000US22071009900,18.8
1400000US22071010000,29.4
1400000US22071010100,3.7
1400000US22071010200,24.4
1400000US22071010300,17.4
1400000US22071010600,9.8
1400000US22071010700,15.4
1400000US22071010800,7.1
1400000US22071010900,13.3
1400000US22071011100,24.6
1400000US22071011200,13.2
1400000US22071011400,3.8
1400000US22071011500,6.3
1400000US22071011600,4.5
1400000US22071011700,8.3
1400000US22071011900,28.1
1400000US22071012000,7.2
1400000US22071012101,28.6
1400000US22071012102,36.7
1400000US22071012200,13.1
1400000US22071012300,11.5
1400000US22071012400,22
1400000US22071012500,16.2
1400000US22071012600,17.2
1400000US22071012700,13.7
1400000US22071012800,14.4
1400000US22071012900,24.8
1400000US22071013000,22.3
1400000US22071013100,30.2
1400000US22071013200,28
1400000US22071013301,1.5
1400000US22071013302,10.5
1400000US22071013400,21
1400000US22071013500,16.7
1400000US22071013600,15.7
1400000US22071013700,64.1
1400000US22071013800,34.9
1400000US22071013900,34.7
1400000US22071014000,55.3
1400000US22071014100,49.8
1400000US22071014200,9
1400000US22071014300,54.8
1400000US22071014400,14.3
1400000US22071980000,30
