,id,census_tract,percent_using_public_trans
1,1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",5.3
2,1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",12.1
3,1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",12.4
4,1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",10
5,1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",4.5
6,1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",2.7
7,1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",10
8,1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",4.9
9,1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",5.6
10,1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",0
11,1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",2.4
12,1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",6.7
13,1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",0
14,1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",10.2
15,1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",5.3
16,1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",3.5
17,1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",6.3
18,1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",2.7
19,1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",5
20,1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",4.3
21,1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",5.1
22,1400000US22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",6.1
23,1400000US22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",7.8
24,1400000US22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",17.5
25,1400000US22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",8.7
26,1400000US22071001100,"Census Tract 11, Orleans Parish, Louisiana",6.4
27,1400000US22071001200,"Census Tract 12, Orleans Parish, Louisiana",4.2
28,1400000US22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",9.5
29,1400000US22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",3.9
30,1400000US22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",9.5
31,1400000US22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",4.4
32,1400000US22071001500,"Census Tract 15, Orleans Parish, Louisiana",3.3
33,1400000US22071001600,"Census Tract 16, Orleans Parish, Louisiana",.
34,1400000US22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",8
35,1400000US22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",0.9
36,1400000US22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",4.5
37,1400000US22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",8.4
38,1400000US22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",5.2
39,1400000US22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",3.7
40,1400000US22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",5.7
41,1400000US22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",6.5
42,1400000US22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",0
43,1400000US22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",17.2
44,1400000US22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",14.1
45,1400000US22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",9.6
46,1400000US22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",3.8
47,1400000US22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",7.8
48,1400000US22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",11
49,1400000US22071001743,"Census Tract 17.43, Orleans Parish, Louisiana",16.5
50,1400000US22071001744,"Census Tract 17.44, Orleans Parish, Louisiana",5
51,1400000US22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",2.6
52,1400000US22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",13.4
53,1400000US22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",2.3
54,1400000US22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",4.5
55,1400000US22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",5.7
56,1400000US22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",5.9
57,1400000US22071001751,"Census Tract 17.51, Orleans Parish, Louisiana",29.8
58,1400000US22071001800,"Census Tract 18, Orleans Parish, Louisiana",4.9
59,1400000US22071001900,"Census Tract 19, Orleans Parish, Louisiana",18.5
60,1400000US22071002000,"Census Tract 20, Orleans Parish, Louisiana",20.8
61,1400000US22071002100,"Census Tract 21, Orleans Parish, Louisiana",8.2
62,1400000US22071002200,"Census Tract 22, Orleans Parish, Louisiana",20.4
63,1400000US22071002300,"Census Tract 23, Orleans Parish, Louisiana",9.2
64,1400000US22071002401,"Census Tract 24.01, Orleans Parish, Louisiana",8.4
65,1400000US22071002402,"Census Tract 24.02, Orleans Parish, Louisiana",10.3
66,1400000US22071002501,"Census Tract 25.01, Orleans Parish, Louisiana",3.2
67,1400000US22071002502,"Census Tract 25.02, Orleans Parish, Louisiana",4.7
68,1400000US22071002503,"Census Tract 25.03, Orleans Parish, Louisiana",5.2
69,1400000US22071002504,"Census Tract 25.04, Orleans Parish, Louisiana",8.2
70,1400000US22071002600,"Census Tract 26, Orleans Parish, Louisiana",2.2
71,1400000US22071002700,"Census Tract 27, Orleans Parish, Louisiana",11.6
72,1400000US22071002800,"Census Tract 28, Orleans Parish, Louisiana",13.2
73,1400000US22071002900,"Census Tract 29, Orleans Parish, Louisiana",8.8
74,1400000US22071003000,"Census Tract 30, Orleans Parish, Louisiana",6.9
75,1400000US22071003100,"Census Tract 31, Orleans Parish, Louisiana",3
76,1400000US22071003301,"Census Tract 33.01, Orleans Parish, Louisiana",7.2
77,1400000US22071003302,"Census Tract 33.02, Orleans Parish, Louisiana",5.4
78,1400000US22071003303,"Census Tract 33.03, Orleans Parish, Louisiana",6.5
79,1400000US22071003304,"Census Tract 33.04, Orleans Parish, Louisiana",8.4
80,1400000US22071003307,"Census Tract 33.07, Orleans Parish, Louisiana",7
81,1400000US22071003308,"Census Tract 33.08, Orleans Parish, Louisiana",6.4
82,1400000US22071003400,"Census Tract 34, Orleans Parish, Louisiana",4.7
83,1400000US22071003500,"Census Tract 35, Orleans Parish, Louisiana",13.9
84,1400000US22071003600,"Census Tract 36, Orleans Parish, Louisiana",15.9
85,1400000US22071003701,"Census Tract 37.01, Orleans Parish, Louisiana",11.3
86,1400000US22071003702,"Census Tract 37.02, Orleans Parish, Louisiana",7.7
87,1400000US22071003800,"Census Tract 38, Orleans Parish, Louisiana",0
88,1400000US22071003900,"Census Tract 39, Orleans Parish, Louisiana",7.7
89,1400000US22071004000,"Census Tract 40, Orleans Parish, Louisiana",6.7
90,1400000US22071004100,"Census Tract 41, Orleans Parish, Louisiana",6.1
91,1400000US22071004401,"Census Tract 44.01, Orleans Parish, Louisiana",7.5
92,1400000US22071004402,"Census Tract 44.02, Orleans Parish, Louisiana",23.9
93,1400000US22071004500,"Census Tract 45, Orleans Parish, Louisiana",2.3
94,1400000US22071004600,"Census Tract 46, Orleans Parish, Louisiana",5.1
95,1400000US22071004800,"Census Tract 48, Orleans Parish, Louisiana",28.3
96,1400000US22071004900,"Census Tract 49, Orleans Parish, Louisiana",19.6
97,1400000US22071005000,"Census Tract 50, Orleans Parish, Louisiana",14.1
98,1400000US22071005400,"Census Tract 54, Orleans Parish, Louisiana",11.8
99,1400000US22071005500,"Census Tract 55, Orleans Parish, Louisiana",1.2
100,1400000US22071005601,"Census Tract 56.01, Orleans Parish, Louisiana",0
101,1400000US22071005602,"Census Tract 56.02, Orleans Parish, Louisiana",0.1
102,1400000US22071005603,"Census Tract 56.03, Orleans Parish, Louisiana",0.6
103,1400000US22071005604,"Census Tract 56.04, Orleans Parish, Louisiana",0
104,1400000US22071006000,"Census Tract 60, Orleans Parish, Louisiana",3.9
105,1400000US22071006300,"Census Tract 63, Orleans Parish, Louisiana",13.2
106,1400000US22071006400,"Census Tract 64, Orleans Parish, Louisiana",9.8
107,1400000US22071006500,"Census Tract 65, Orleans Parish, Louisiana",6.2
108,1400000US22071006900,"Census Tract 69, Orleans Parish, Louisiana",14.7
109,1400000US22071007000,"Census Tract 70, Orleans Parish, Louisiana",2.9
110,1400000US22071007101,"Census Tract 71.01, Orleans Parish, Louisiana",17.5
111,1400000US22071007200,"Census Tract 72, Orleans Parish, Louisiana",23.3
112,1400000US22071007501,"Census Tract 75.01, Orleans Parish, Louisiana",13.9
113,1400000US22071007502,"Census Tract 75.02, Orleans Parish, Louisiana",13.6
114,1400000US22071007604,"Census Tract 76.04, Orleans Parish, Louisiana",0
115,1400000US22071007605,"Census Tract 76.05, Orleans Parish, Louisiana",11.8
116,1400000US22071007606,"Census Tract 76.06, Orleans Parish, Louisiana",1.6
117,1400000US22071007700,"Census Tract 77, Orleans Parish, Louisiana",0.7
118,1400000US22071007800,"Census Tract 78, Orleans Parish, Louisiana",7.9
119,1400000US22071008200,"Census Tract 82, Orleans Parish, Louisiana",13.6
120,1400000US22071008300,"Census Tract 83, Orleans Parish, Louisiana",4
121,1400000US22071008400,"Census Tract 84, Orleans Parish, Louisiana",10
122,1400000US22071008500,"Census Tract 85, Orleans Parish, Louisiana",31.1
123,1400000US22071008600,"Census Tract 86, Orleans Parish, Louisiana",25.1
124,1400000US22071008800,"Census Tract 88, Orleans Parish, Louisiana",12.1
125,1400000US22071009000,"Census Tract 90, Orleans Parish, Louisiana",6
126,1400000US22071009100,"Census Tract 91, Orleans Parish, Louisiana",8.1
127,1400000US22071009200,"Census Tract 92, Orleans Parish, Louisiana",17.9
128,1400000US22071009400,"Census Tract 94, Orleans Parish, Louisiana",23.5
129,1400000US22071009600,"Census Tract 96, Orleans Parish, Louisiana",10.8
130,1400000US22071009700,"Census Tract 97, Orleans Parish, Louisiana",5.6
131,1400000US22071009900,"Census Tract 99, Orleans Parish, Louisiana",11.1
132,1400000US22071010000,"Census Tract 100, Orleans Parish, Louisiana",11.5
133,1400000US22071010100,"Census Tract 101, Orleans Parish, Louisiana",8.1
134,1400000US22071010200,"Census Tract 102, Orleans Parish, Louisiana",9
135,1400000US22071010300,"Census Tract 103, Orleans Parish, Louisiana",11.8
136,1400000US22071010600,"Census Tract 106, Orleans Parish, Louisiana",0.4
137,1400000US22071010700,"Census Tract 107, Orleans Parish, Louisiana",6.2
138,1400000US22071010800,"Census Tract 108, Orleans Parish, Louisiana",2
139,1400000US22071010900,"Census Tract 109, Orleans Parish, Louisiana",3.4
140,1400000US22071011100,"Census Tract 111, Orleans Parish, Louisiana",7
141,1400000US22071011200,"Census Tract 112, Orleans Parish, Louisiana",0.1
142,1400000US22071011400,"Census Tract 114, Orleans Parish, Louisiana",1.8
143,1400000US22071011500,"Census Tract 115, Orleans Parish, Louisiana",1.1
144,1400000US22071011600,"Census Tract 116, Orleans Parish, Louisiana",0
145,1400000US22071011700,"Census Tract 117, Orleans Parish, Louisiana",0
146,1400000US22071011900,"Census Tract 119, Orleans Parish, Louisiana",2.4
147,1400000US22071012000,"Census Tract 120, Orleans Parish, Louisiana",0
148,1400000US22071012101,"Census Tract 121.01, Orleans Parish, Louisiana",4.2
149,1400000US22071012102,"Census Tract 121.02, Orleans Parish, Louisiana",2.1
150,1400000US22071012200,"Census Tract 122, Orleans Parish, Louisiana",0
151,1400000US22071012300,"Census Tract 123, Orleans Parish, Louisiana",8.2
152,1400000US22071012400,"Census Tract 124, Orleans Parish, Louisiana",4.5
153,1400000US22071012500,"Census Tract 125, Orleans Parish, Louisiana",5.2
154,1400000US22071012600,"Census Tract 126, Orleans Parish, Louisiana",1.9
155,1400000US22071012700,"Census Tract 127, Orleans Parish, Louisiana",8.5
156,1400000US22071012800,"Census Tract 128, Orleans Parish, Louisiana",8.6
157,1400000US22071012900,"Census Tract 129, Orleans Parish, Louisiana",11.5
158,1400000US22071013000,"Census Tract 130, Orleans Parish, Louisiana",12.3
159,1400000US22071013100,"Census Tract 131, Orleans Parish, Louisiana",6.9
160,1400000US22071013200,"Census Tract 132, Orleans Parish, Louisiana",8.7
161,1400000US22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",0
162,1400000US22071013302,"Census Tract 133.02, Orleans Parish, Louisiana",0
163,1400000US22071013400,"Census Tract 134, Orleans Parish, Louisiana",1.4
164,1400000US22071013500,"Census Tract 135, Orleans Parish, Louisiana",1.7
165,1400000US22071013600,"Census Tract 136, Orleans Parish, Louisiana",2.7
166,1400000US22071013700,"Census Tract 137, Orleans Parish, Louisiana",18.7
167,1400000US22071013800,"Census Tract 138, Orleans Parish, Louisiana",18.1
168,1400000US22071013900,"Census Tract 139, Orleans Parish, Louisiana",5.9
169,1400000US22071014000,"Census Tract 140, Orleans Parish, Louisiana",20.7
170,1400000US22071014100,"Census Tract 141, Orleans Parish, Louisiana",17.4
171,1400000US22071014200,"Census Tract 142, Orleans Parish, Louisiana",9
172,1400000US22071014300,"Census Tract 143, Orleans Parish, Louisiana",18.2
173,1400000US22071014400,"Census Tract 144, Orleans Parish, Louisiana",10.5
174,1400000US22071014500,"Census Tract 145, Orleans Parish, Louisiana",.
175,1400000US22071980000,"Census Tract 9800, Orleans Parish, Louisiana",0
176,1400000US22071980100,"Census Tract 9801, Orleans Parish, Louisiana",.
177,1400000US22071990000,"Census Tract 9900, Orleans Parish, Louisiana",.
