GEO_ID,NAME,TOTAL,TOTAL_MOE,WHITE_ALONE,WHITE_ALONE_MOE,PERCENT_WHITE_ALONE,BLACK_OR_AA_ALONE,BLACK_OR_AA_ALONE_MOE,PERCENT_POP_BLACK_OR_AA_ALONE,AMERICAN_INDIAN_OR_ALASKA_NATIVE_ALONE,AMERICAN_INDIAN_OR_ALASKA_NATIVE_ALONE_MOE,PERCENT_AMERICAN_INDIAN_OR_ALASKA_NATIVE_ALONE,ASIAN_ALONE,ASIAN_ALONE_MOE,PERCENT_ASIAN_ALONE,NATIVE_HAWAIIAN_OR_PI_ALONE,NATIVE_HAWAIIAN_OR_PI_ALONE_MOE,PERCENT_NATIVE_HAWAIIAN_OR_PI_ALONE,SOME_OTHER_RACE_ALONE,SOME_OTHER_RACE_ALONE_MOE,PERCENT_SOME_OTHER_RACE_ALONE,TWO_OR_MORE_RACES,TWO_OR_MORE_RACES_MOE,PERCENT_TWO_OR_MORE_RACES
1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",2584,276,2315,250,0.895897833,236,103,0.091331269,0,13,0.00503096,33,35,0.012770898,0,13,0,0,13,0,0,13,0
1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",1202,232,288,121,0.239600666,876,239,0.728785358,6,9,0.007487521,0,13,0,0,13,0,0,13,0,32,28,0.026622296
1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",1361,350,133,72,0.097722263,1228,358,0.902277737,0,13,0.0095518,0,13,0,0,13,0,0,13,0,0,13,0
1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",1937,311,340,95,0.175529169,1522,296,0.785751162,26,32,0.016520392,22,20,0.01135777,0,13,0,27,38,0.013939081,0,13,0
1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",953,199,24,29,0.025183631,929,195,0.974816369,0,13,0.013641133,0,13,0,0,13,0,0,13,0,0,13,0
1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",2364,492,321,178,0.135786802,1897,459,0.802453469,0,13,0.005499154,4,8,0.001692047,0,13,0,135,161,0.057106599,7,14,0.002961083
1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",1072,262,64,46,0.059701493,856,250,0.798507463,0,13,0.012126866,11,17,0.010261194,0,13,0,97,98,0.090485075,44,55,0.041044776
1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",3892,540,616,359,0.158273381,3019,548,0.775693731,11,18,0.004624872,8,14,0.002055498,0,13,0,0,13,0,238,247,0.061151079
1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",2242,316,454,119,0.20249777,1666,330,0.74308653,0,13,0.005798394,5,7,0.002230152,0,13,0,105,83,0.046833185,12,14,0.005352364
1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",4326,440,1390,235,0.321312991,2372,375,0.548312529,19,27,0.006241331,267,161,0.061719834,0,13,0,117,95,0.02704577,161,157,0.037216828
1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",4681,564,1720,320,0.367442854,2274,472,0.485793634,8,14,0.002990814,60,49,0.012817774,0,13,0,456,296,0.097415082,163,117,0.034821619
1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",4641,704,20,22,0.004309416,3972,661,0.855850032,0,13,0.00280112,525,266,0.113122172,0,13,0,124,109,0.02671838,0,13,0
1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",2043,519,993,164,0.486049927,748,493,0.366128243,4,7,0.003426334,179,103,0.087616251,0,13,0,92,123,0.045031816,27,24,0.013215859
1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",5379,730,505,229,0.093883621,4771,768,0.886967838,0,18,0.003346347,58,83,0.010782673,0,18,0,38,43,0.00706451,7,12,0.001301357
1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",4248,653,884,246,0.208097928,2995,635,0.705037665,0,13,0.003060264,165,103,0.038841808,0,13,0,126,168,0.029661017,78,75,0.018361582
1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",4261,578,1649,280,0.386998357,2313,483,0.542830322,0,13,0.003050927,52,48,0.012203708,0,13,0,36,54,0.008448721,211,151,0.049518892
1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",5258,763,369,193,0.070178775,4449,715,0.846139216,0,18,0.003423355,118,124,0.022441993,0,18,0,267,364,0.050779764,55,60,0.010460251
1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",4894,561,1192,285,0.243563547,3524,551,0.720065386,0,13,0.002656314,178,116,0.036371067,0,13,0,0,13,0,0,13,0
1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",832,229,45,34,0.054086538,744,226,0.894230769,0,13,0.015625,7,11,0.008413462,0,13,0,28,46,0.033653846,8,8,0.009615385
1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",1808,341,340,115,0.188053097,1371,321,0.75829646,0,13,0.007190265,57,66,0.031526549,0,13,0,0,13,0,40,38,0.022123894
1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",1593,215,252,90,0.15819209,1297,215,0.814187068,0,13,0.008160703,0,13,0,0,13,0,0,13,0,44,52,0.027620841
1400000US22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",953,200,162,134,0.169989507,791,219,0.830010493,0,13,0.013641133,0,13,0,0,13,0,0,13,0,0,13,0
1400000US22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",493,183,15,16,0.030425963,458,178,0.929006085,0,13,0.026369168,0,13,0,0,13,0,20,27,0.040567951,0,13,0
1400000US22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",750,184,8,9,0.010666667,739,185,0.985333333,0,13,0.017333333,0,13,0,0,13,0,0,13,0,3,6,0.004
1400000US22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",1046,163,52,28,0.049713193,986,163,0.942638623,3,5,0.004780115,0,13,0,5,9,0.004780115,0,13,0,0,13,0
1400000US22071001100,"Census Tract 11, Orleans Parish, Louisiana",1814,229,1045,138,0.576074972,705,167,0.388643881,10,15,0.008269019,9,12,0.004961411,0,13,0,20,24,0.011025358,25,29,0.013781698
1400000US22071001200,"Census Tract 12, Orleans Parish, Louisiana",1727,235,1388,218,0.803705848,215,104,0.124493341,11,12,0.006948466,17,18,0.00984366,0,13,0,79,54,0.045744065,17,18,0.00984366
1400000US22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",2040,290,770,147,0.37745098,1176,282,0.576470588,0,13,0.006372549,21,24,0.010294118,0,13,0,9,10,0.004411765,64,67,0.031372549
1400000US22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",1180,224,268,109,0.227118644,890,221,0.754237288,0,13,0.011016949,0,13,0,0,13,0,0,13,0,22,31,0.018644068
1400000US22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",1401,221,70,49,0.049964311,1331,224,0.950035689,0,13,0.009279086,0,13,0,0,13,0,0,13,0,0,13,0
1400000US22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",1947,253,248,127,0.127375449,1504,240,0.772470467,5,8,0.004108885,0,13,0,0,13,0,24,23,0.012326656,166,125,0.085259373
1400000US22071001500,"Census Tract 15, Orleans Parish, Louisiana",930,209,233,84,0.250537634,681,197,0.732258065,0,13,0.013978495,0,13,0,0,13,0,0,13,0,16,14,0.017204301
1400000US22071001600,"Census Tract 16, Orleans Parish, Louisiana",0,13,0,13,#DIV/0!,0,13,#DIV/0!,0,13,#DIV/0!,0,13,#DIV/0!,0,13,#DIV/0!,0,13,#DIV/0!,0,13,#DIV/0!
1400000US22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",2011,277,46,59,0.022874192,1946,277,0.967677772,0,13,0.006464446,0,13,0,0,13,0,0,13,0,19,19,0.009448036
1400000US22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",3185,477,761,187,0.238932496,2238,454,0.70266876,0,13,0.004081633,57,92,0.017896389,0,13,0,90,93,0.028257457,39,34,0.012244898
1400000US22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",3555,533,80,55,0.022503516,3445,528,0.969057665,0,13,0.003656821,0,13,0,0,13,0,0,13,0,30,46,0.008438819
1400000US22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",4679,612,66,45,0.014105578,4517,608,0.965377217,0,13,0.002778371,0,13,0,0,13,0,25,29,0.005343022,71,94,0.015174183
1400000US22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",5083,616,105,67,0.020657092,4846,625,0.953373992,7,13,0.002557545,66,74,0.012984458,0,18,0,0,18,0,59,59,0.011607319
1400000US22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",5550,713,269,184,0.048468468,5173,718,0.932072072,0,18,0.003243243,4,9,0.000720721,0,18,0,46,70,0.008288288,58,53,0.01045045
1400000US22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",6801,1187,312,189,0.045875607,6380,1108,0.938097339,39,63,0.009263344,0,18,0,0,18,0,19,47,0.002793707,51,114,0.007498897
1400000US22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",1141,179,45,63,0.039439089,957,241,0.838737949,0,13,0.011393514,55,61,0.04820333,0,13,0,84,99,0.073619632,0,13,0
1400000US22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",854,149,784,182,0.918032787,31,36,0.036299766,0,13,0.015222482,2,4,0.00234192,0,13,0,14,29,0.016393443,23,23,0.026932084
1400000US22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",2841,375,35,32,0.012319606,2646,367,0.931362196,0,13,0.004575854,0,13,0,23,31,0.008095741,44,40,0.015487504,93,98,0.032734952
1400000US22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",1899,321,33,30,0.017377567,1725,306,0.908372828,0,13,0.006845708,0,13,0,0,13,0,59,80,0.031068984,82,76,0.043180621
1400000US22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",3432,420,135,75,0.039335664,3159,419,0.920454545,46,56,0.016317016,0,13,0,0,13,0,0,13,0,92,76,0.026806527
1400000US22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",2041,230,34,38,0.016658501,1886,214,0.924056835,0,13,0.006369427,52,81,0.025477707,0,13,0,0,13,0,69,60,0.033806957
1400000US22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",5325,716,67,59,0.01258216,4960,781,0.931455399,0,18,0.003380282,298,273,0.055962441,0,18,0,0,18,0,0,18,0
