obs,id,census_tract,unemployment_ov16
1,1400000US22071000100,1,5.4
2,1400000US22071000200,2,11
3,1400000US22071000300,3,13.4
4,1400000US22071000400,4,11.6
5,1400000US22071000601,6.01,16.8
6,1400000US22071000602,6.02,15
7,1400000US22071000603,6.03,30
8,1400000US22071000604,6.04,20.5
9,1400000US22071000605,6.05,11.2
10,1400000US22071000606,6.06,9.7
11,1400000US22071000607,6.07,3.4
12,1400000US22071000611,6.11,12.5
13,1400000US22071000612,6.12,1.9
14,1400000US22071000613,6.13,8.7
15,1400000US22071000615,6.15,2.8
16,1400000US22071000616,6.16,10.4
17,1400000US22071000617,6.17,4.4
18,1400000US22071000618,6.18,9.1
19,1400000US22071000701,7.01,20.8
20,1400000US22071000702,7.02,11.8
21,1400000US22071000800,8,12.8
22,1400000US22071000901,9.01,17.4
23,1400000US22071000902,9.02,15.3
24,1400000US22071000903,9.03,18.5
25,1400000US22071000904,9.04,12.2
26,1400000US22071001100,11,4.9
27,1400000US22071001200,12,2.1
28,1400000US22071001301,13.01,14.5
29,1400000US22071001302,13.02,6.1
30,1400000US22071001401,14.01,9.7
31,1400000US22071001402,14.02,11.6
32,1400000US22071001500,15,24.9
33,1400000US22071001600,16,.
34,1400000US22071001701,17.01,12.9
35,1400000US22071001702,17.02,7.2
36,1400000US22071001720,17.2,10.9
37,1400000US22071001722,17.22,10.2
38,1400000US22071001723,17.23,9.2
39,1400000US22071001724,17.24,5.7
40,1400000US22071001725,17.25,9.3
41,1400000US22071001730,17.3,8.5
42,1400000US22071001734,17.34,9.4
43,1400000US22071001735,17.35,8.8
44,1400000US22071001736,17.36,10.2
45,1400000US22071001737,17.37,8.5
46,1400000US22071001739,17.39,6.4
47,1400000US22071001740,17.4,7.3
48,1400000US22071001741,17.41,13.4
49,1400000US22071001743,17.43,6.9
50,1400000US22071001744,17.44,10.8
51,1400000US22071001745,17.45,10.1
52,1400000US22071001746,17.46,11.1
53,1400000US22071001747,17.47,7.1
54,1400000US22071001748,17.48,3.4
55,1400000US22071001749,17.49,7.4
56,1400000US22071001750,17.5,14.2
57,1400000US22071001751,17.51,19.5
58,1400000US22071001800,18,3.8
59,1400000US22071001900,19,13.8
60,1400000US22071002000,20,10
61,1400000US22071002100,21,22.6
62,1400000US22071002200,22,7.8
63,1400000US22071002300,23,21.2
64,1400000US22071002401,24.01,23.9
65,1400000US22071002402,24.02,15.5
66,1400000US22071002501,25.01,13.8
67,1400000US22071002502,25.02,7.8
68,1400000US22071002503,25.03,6
69,1400000US22071002504,25.04,5.5
70,1400000US22071002600,26,3.5
71,1400000US22071002700,27,18.5
72,1400000US22071002800,28,25.4
73,1400000US22071002900,29,3.4
74,1400000US22071003000,30,32.2
75,1400000US22071003100,31,10.3
76,1400000US22071003301,33.01,4.8
77,1400000US22071003302,33.02,5
78,1400000US22071003303,33.03,3.9
79,1400000US22071003304,33.04,8.4
80,1400000US22071003307,33.07,9.4
81,1400000US22071003308,33.08,7.8
82,1400000US22071003400,34,2.4
83,1400000US22071003500,35,18.7
84,1400000US22071003600,36,5.2
85,1400000US22071003701,37.01,12.2
86,1400000US22071003702,37.02,4.8
87,1400000US22071003800,38,2.4
88,1400000US22071003900,39,11.2
89,1400000US22071004000,40,11.7
90,1400000US22071004100,41,4
91,1400000US22071004401,44.01,2.3
92,1400000US22071004402,44.02,11
93,1400000US22071004500,45,8.6
94,1400000US22071004600,46,4.3
95,1400000US22071004800,48,17.9
96,1400000US22071004900,49,10.6
97,1400000US22071005000,50,7.7
98,1400000US22071005400,54,6
99,1400000US22071005500,55,3.4
100,1400000US22071005601,56.01,1.2
101,1400000US22071005602,56.02,3.4
102,1400000US22071005603,56.03,1
103,1400000US22071005604,56.04,0.6
104,1400000US22071006000,60,9.7
105,1400000US22071006300,63,4
106,1400000US22071006400,64,3
107,1400000US22071006500,65,2
108,1400000US22071006900,69,18.7
109,1400000US22071007000,70,3
110,1400000US22071007101,71.01,8.3
