id,NAME,TOTAL_HOUSEHOLD,TOTAL_HOUSEHOLD_MOE,HOUSEHOLD_NO_VEHICLE,HOUSEHOLD_NO_VEHICLE_MOE,PERCENT_HOUSEHOLD_NO_VEHICLE
1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",1238,101,52,51,0.042003231
1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",548,65,139,45,0.253649635
1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",487,66,161,55,0.330595483
1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",807,91,179,77,0.22180917
1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",401,58,121,55,0.301745636
1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",946,97,204,72,0.21564482
1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",399,70,177,72,0.443609023
1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",1504,131,240,108,0.159574468
1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",751,59,79,38,0.105193076
1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",1612,94,109,69,0.067617866
1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",1462,102,0,13,0
1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",1547,116,214,94,0.138332256
1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",568,66,0,13,0
1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",2102,130,915,126,0.435299715
1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",2010,174,432,152,0.214925373
1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",1568,167,116,68,0.073979592
1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",2111,189,192,117,0.090952155
1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",1471,70,105,57,0.071380014
1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",326,41,65,32,0.199386503
1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",638,82,168,55,0.263322884
